,Src IP,Src Port,Flow Byts/s,Flow Pkts/s,Flow Duration,Active Mean,Fwd IAT Mean,Tot Fwd Pkts,TotLen Fwd Pkts,Label
7625378 ,48448061252304896,   49606 ,0.0                 ,47619.04761904762    ,           42 ,       0.0            ,42.0,           2 ,            0.0 ,Benign
4019565 ,10466208704888832,   64052 ,1401.0868379037174  ,7.757955913088137    ,      1933499 ,       0.0            ,276214.14285714284,           8 ,         1128.0 ,Benign
1782838 ,48448069959680000,   53378 ,52.4524897181926    ,1.2793290175168928   ,      6253278 ,       0.0            ,20633.0,           4 ,           97.0 ,Benign
 661925 ,48448056319803392,   49941 ,52.41999797351959   ,1.2785365359395022   ,      6257154 ,       0.0            ,20702.33333333333,           4 ,           97.0 ,Benign
4109790 ,48448065547272192,   53171 ,343750.0            ,13392.857142857143   ,          224 ,       0.0            ,112.0,           3 ,           77.0 ,Benign
6653029 ,48448064641302528,   49633 ,59962.333130227664  ,221.5698221902177    ,        72212 ,       0.0            ,9026.499999999998,           9 ,          557.0 ,Benign
6559178 ,48448064490307584,   56772 ,3903.2201566292188  ,50.04128405934896    ,        39967 ,       0.0            ,0.0,           1 ,           33.0 ,Benign
7721632 ,48448070530105344,   49706 ,0.0                 ,0.03655433835295071  ,     54713068 ,       0.0            ,54713068.0,           2 ,            0.0 ,Benign
6981561 ,48448069003378688,   51427 ,30.646139122669613  ,0.32943515888584024  ,    115348951 ,   62860.363636363625 ,6408275.055555555,          19 ,          610.0 ,Benign
2744399 ,48448061856284672,   53185 ,425.866278255343    ,0.766806012359246    ,     89983645 ,  427040.22222222225  ,3912332.391304348,          24 ,         5873.0 ,Benign
4429677 ,48448065966702592,   61717 ,313167.25978647685  ,7117.437722419929    ,          281 ,       0.0            ,0.0,           1 ,           36.0 ,Benign
2706824 ,48448057343213568,   49516 ,476489.02821316617  ,6269.592476489028    ,          319 ,       0.0            ,0.0,           1 ,           44.0 ,Benign
7248396 ,48448056521129984,   49752 ,11621.885967435705  ,115.06817789540302   ,        17381 ,       0.0            ,0.0,           1 ,           37.0 ,Benign
2767551 ,48448061906616320,   56321 ,263565.8914728682   ,5167.958656330749    ,          387 ,       0.0            ,0.0,           1 ,           43.0 ,Benign
3854405 ,48448065178173440,   52849 ,1411.0043833869672  ,3.528981367370489    ,      5100622 ,       0.0            ,637577.7500000001,           9 ,          350.0 ,Benign
5239756 ,50290313889054720,   53221 ,781.4615387251895   ,15.423583001155055   ,       583522 ,       0.0            ,145859.25,           5 ,          286.0 ,Benign
1425082 ,48448065530494976,   49757 ,697849.4623655913   ,7526.881720430107    ,          930 ,       0.0            ,257.0,           3 ,          161.0 ,Benign
6861966 ,48448070412664832,   55115 ,88957.05521472394   ,1226.993865030675    ,         1630 ,       0.0            ,0.0,           1 ,           43.0 ,Benign
6817982 ,48448064473530368,   50435 ,44.344118026950525  ,0.302805054812257    ,    118888372 ,  307527.63636363635  ,6993433.647058824,          18 ,         1390.0 ,Benign
 453679 ,54227956632911872,   30884 ,1622950.8196721312  ,16393.44262295082    ,          244 ,       0.0            ,0.0,           1 ,           33.0 ,Benign
7401644 ,48448061839507456,   62100 ,586797.06601467     ,4889.975550122249    ,          409 ,       0.0            ,0.0,           1 ,           88.0 ,Benign
 431180 ,48652344946065408,      80 ,0.0                 ,68965.5172413793     ,           29 ,       0.0            ,0.0,           0 ,            0.0 ,Benign
4547839 ,48448070630768640,   56080 ,4063.595265911515   ,50.79494082389394    ,        39374 ,       0.0            ,0.0,           1 ,           33.0 ,Benign
5143802 ,48448070144229376,   58947 ,7472.8119064019875  ,83.49510509946354    ,        47907 ,       0.0            ,30762.0,           2 ,           80.0 ,Benign
 314469 ,54227956683243520,   54540 ,44.9177588565439    ,0.35314057777915625  ,    116101073 ,   28535.0            ,6109773.526315789,          20 ,         1123.0 ,Benign
4419620 ,51600810131324928,    3311 ,0.0                 ,15.579296672651713   ,       256751 ,       0.0            ,128375.5,           3 ,            0.0 ,Benign
6499659 ,2258396900229120,       0 ,0.0                 ,0.026633713069416025 ,    112639195 ,       0.0            ,56319597.5,           3 ,            0.0 ,Benign
6230992 ,48448056537907200,   60850 ,115652.17391304349  ,1739.1304347826087   ,         1150 ,       0.0            ,0.0,           1 ,           36.0 ,Benign
6024456 ,19214733538230272,     443 ,0.0                 ,13888.888888888889   ,          144 ,       0.0            ,144.0,           2 ,            0.0 ,Benign
1878975 ,48448057427099648,   53735 ,47.812013839712755  ,0.2994668010719303   ,    116874391 ,  325577.0            ,6874964.176470588,          18 ,         1565.0 ,Benign
4831238 ,1614667956879360,   61682 ,1478.9053820758838  ,8.140763571059912    ,      1842579 ,       0.0            ,263225.5714285714,           8 ,         1144.0 ,Benign
5902170 ,48448077308100608,   55929 ,2219.623853029192   ,39.63614023266415    ,        50459 ,       0.0            ,0.0,           1 ,           35.0 ,Benign
3029205 ,48448060765765632,   61593 ,14407.386770675794  ,159.19764387487066   ,        12563 ,       0.0            ,0.0,           1 ,           47.0 ,Benign
 885170 ,48448057393545216,   62123 ,92352.09235209237   ,1443.001443001443    ,         1386 ,       0.0            ,0.0,           1 ,           38.0 ,Benign
6472599 ,48448061319413760,   55519 ,309090.9090909091   ,6060.606060606061    ,          330 ,       0.0            ,0.0,           1 ,           43.0 ,Benign
6142003 ,48448056286248960,   50297 ,105226.2219286658   ,268.32892998678994   ,        48448 ,       0.0            ,6697.2,           6 ,         1461.0 ,Benign
5047761 ,58344513235582976,   56829 ,1601.102995101059   ,9.387192349438235    ,      1704450 ,       0.0            ,213056.25,           9 ,         1148.0 ,Benign
2732149 ,48448061856284672,   49770 ,21315.326248250258  ,78.10012435942879    ,       166453 ,       0.0            ,27742.16666666667,           7 ,          350.0 ,Benign
 308483 ,48652320115785728,     443 ,0.0                 ,30769.230769230773   ,           65 ,       0.0            ,0.0,           0 ,            0.0 ,Benign
5896627 ,48448077308100608,   53771 ,396907.21649484534  ,15463.917525773197   ,          194 ,       0.0            ,97.0,           3 ,           77.0 ,Benign
6128496 ,48448056269471744,   50343 ,113905.32544378699  ,4437.869822485208    ,          676 ,       0.0            ,338.0,           3 ,           77.0 ,Benign
3134852 ,15411585212219392,     443 ,5130.282165519104   ,405.02227622519234   ,         7407 ,       0.0            ,7407.0,           2 ,           38.0 ,Benign
6476755 ,48448061319413760,   59722 ,325443.78698224854  ,5917.15976331361     ,          338 ,       0.0            ,0.0,           1 ,           47.0 ,Benign
4618377 ,28535025272094720,   55048 ,488.9363153730608   ,3.0457740422653106   ,      5581504 ,       0.0            ,620167.1111111111,          10 ,         1148.0 ,Benign
7367334 ,48448061755621376,     445 ,0.0                 ,68965.5172413793     ,           29 ,       0.0            ,29.0,           2 ,            0.0 ,Benign
5302568 ,59774340060676096,   52061 ,1438.6581419732208  ,7.600776799388897    ,      2368179 ,       0.0            ,296022.375,           9 ,         1789.0 ,Benign
 860252 ,48448057326436352,   53207 ,441807.9096045198   ,7909.604519774011    ,          885 ,       0.0            ,250.0,           3 ,          148.0 ,Benign
3325052 ,48448061671735296,   53179 ,12991.66741331422   ,179.1954125974375    ,        11161 ,       0.0            ,0.0,           1 ,           34.0 ,Benign
5244705 ,48448073113796608,   65315 ,240000.0            ,4444.444444444444    ,          450 ,       0.0            ,0.0,           1 ,           46.0 ,Benign
