,Src IP,Src Port,Flow Byts/s,Flow Pkts/s,Flow Duration,Tot Fwd Pkts,TotLen Fwd Pkts,Num Src IP,Label
2827246,23.217.158.214,443,3.1E7,2000000.0,1,2,31.0,400137942,Benign
7702508,129.158.72.21,52511,235.20111807147842,1.3789732096532261,11602836,8,1148.0,2174634005,Benign
2300495,172.31.64.49,53869,156914.8936170213,2659.5744680851067,752,1,45.0,2887729201,Benign
2632211,172.31.64.85,49526,322368.4210526316,6578.9473684210525,304,1,41.0,2887729237,Benign
7576834,144.21.81.16,51972,1710.1440556671002,10.026495013072044,1595772,9,1148.0,2417316112,Benign
5266869,172.31.68.13,56875,3666.601191645387,87.30002837250922,45819,2,68.0,2887730189,Benign
5389678,172.31.68.23,49673,2580.1124929046905,38.70168739357036,77516,2,74.0,2887730199,Benign
5338694,172.31.68.19,56185,405797.1014492754,7246.376811594203,276,1,40.0,2887730195,Benign
1433550,172.31.66.72,57317,88010.20408163266,1275.5102040816328,1568,1,42.0,2887729736,Benign
3587823,172.31.66.17,58735,303030.30303030304,6060.606060606061,330,1,42.0,2887729681,Benign
6644109,172.31.66.15,59280,298850.5747126437,5747.126436781609,348,1,36.0,2887729679,Benign
5561719,37.46.246.28,60228,1310.4036081810978,7.255833932342734,2067302,8,1128.0,623834652,Benign
3084586,172.31.65.5,63906,420664.2066420665,7380.073800738008,271,1,49.0,2887729413,Benign
5727902,172.31.69.20,59219,85223.78908645002,1226.2415695892091,1631,1,42.0,2887730452,Benign
7340705,5.39.216.253,24800,1116.7489473523729,7.6228597088899175,2886056,13,1492.0,86497533,Benign
4665386,185.222.56.82,17034,1614.8970554905611,9.468066283565035,1689891,8,1148.0,3118348370,Benign
5388438,172.31.68.23,52387,239875.3894080997,9345.794392523365,321,3,77.0,2887730199,Benign
1503946,209.85.203.154,443,87155.9633027523,6880.733944954128,436,2,38.0,3512060826,Benign
2136865,172.31.64.16,50502,64.03167704535201,0.43539218299196747,34451698,7,434.0,2887729168,Benign
975728,173.167.113.37,51877,1278.003448595601,7.961179415949145,2135362,10,1148.0,2913431845,Benign
4341019,172.31.66.91,51487,44.31123836712143,0.212340609388161,117735369,13,605.0,2887729755,Benign
2628858,172.31.64.85,55928,68062.8272251309,1163.4671320535194,1719,1,28.0,2887729237,Benign
2151999,172.31.64.16,60640,318021.2014134276,7067.137809187279,283,1,37.0,2887729168,Benign
1103975,173.243.247.126,63764,3996.164358100259,50.69130263974959,236727,7,364.0,2918446974,Benign
7288904,172.31.64.78,50711,852825.2299605783,9198.423127463864,761,3,161.0,2887729230,Benign
5987151,204.244.109.203,55872,1551.5548199292225,9.418584499772699,1592596,8,1042.0,3438570955,Benign
5212491,37.46.246.28,54685,952.8335101943337,5.62766192805808,2843099,9,1128.0,623834652,Benign
6708000,204.11.75.42,51767,1029.1253678780977,6.636842356327918,2410785,9,1052.0,3423292202,Benign
1216586,172.31.66.114,49756,69.64059079494574,0.4148016658865067,65091349,13,1458.0,2887729778,Benign
3212064,172.31.65.84,50900,1882.0876842678488,19.107489180384253,209342,2,84.0,2887729492,Benign
5660299,172.31.69.16,52256,55.99516532787536,0.25541355630777873,117456569,16,1006.0,2887730448,Benign
3613474,172.31.66.20,51549,133482.47576435495,1491.4243102162566,1341,1,40.0,2887729684,Benign
7891685,173.167.113.37,57284,1080.2615745139021,6.333523339033504,2526240,9,1148.0,2913431845,Benign
3724842,172.31.66.34,64844,198807.15705765408,3976.1431411530816,503,1,42.0,2887729698,Benign
3245852,172.31.65.8,55474,466960.35242290754,8810.57268722467,227,1,45.0,2887729416,Benign
6671325,172.31.66.24,50793,682.1444761444177,3.0654126604427967,5545746,9,460.0,2887729688,Benign
5123672,172.31.67.7,51159,192893.40101522845,5076.1421319796955,394,1,30.0,2887729927,Benign
4516813,46.254.201.98,63732,1566.9553294280986,8.612799538813293,1741594,8,1148.0,788449634,Benign
3426787,172.31.66.116,52840,43.86230154714392,0.2025972357835747,118461636,13,594.0,2887729780,Benign
2657755,172.31.64.8,51487,9.937824764805029,0.25947323145705037,115618863,16,443.0,2887729160,Benign
4818334,172.31.67.45,57544,361538.46153846156,7692.307692307693,260,1,31.0,2887729965,Benign
5874832,172.31.69.5,53542,171111.11111111112,6666.666666666667,450,3,77.0,2887730437,Benign
6975709,172.31.67.14,52541,17.933463261189182,0.23934078708927412,58494000,7,829.0,2887729934,Benign
3804344,37.46.246.28,65091,738.9416369586145,5.339173677446636,3745898,10,1128.0,623834652,Benign
6625744,172.31.66.121,53204,93327.7027027027,844.5945945945946,2368,1,36.0,2887729785,Benign
5350396,172.31.68.20,54310,3.8720431738953702,0.09902923718402482,100980279,5,316.0,2887730196,Benign
2142932,172.31.64.16,53132,11116.277242246437,49.11462699077955,305408,9,518.0,2887729168,Benign
3171242,172.245.10.238,57906,762.4772884307132,5.308563019488293,3579123,12,1148.0,2901740270,Benign
4646627,172.31.67.17,54782,1387.3594214711213,17.341992768389016,230654,2,78.0,2887729937,Benign
