        ,Src IP          ,Src Port ,Flow Byts/s        ,Flow Pkts/s         ,Flow Duration ,Tot Fwd Pkts ,TotLen Fwd Pkts ,Num Src IP ,Label
6730000 ,172.31.66.79    ,   49409 ,148076.9230769231  ,5769.2307692307695  ,          520 ,           3 ,           77.0 ,2887729743 ,Benign
1834431 ,52.48.126.250   ,     443 ,87759.81524249422  ,6928.406466512702   ,          433 ,           2 ,           38.0 , 875593466 ,Benign
5083925 ,172.31.67.75    ,   65365 ,8959.708138848651  ,107.30189387842695  ,        18639 ,           1 ,           53.0 ,2887729995 ,Benign
6026362 ,172.31.64.121   ,   49324 ,385601.57790927024 ,6903.353057199211   ,         1014 ,           3 ,          148.0 ,2887729273 ,Benign
5266222 ,104.238.118.162 ,   51552 ,1468.448534887625  ,8.609445422573105   ,      1858424 ,           9 ,         1148.0 ,1760458402 ,Benign
5877638 ,172.31.69.5     ,   55270 ,403141.3612565445  ,15706.806282722513  ,          191 ,           3 ,           77.0 ,2887730437 ,Benign
4179272 ,172.31.66.78    ,   50643 ,11.859501249366474 ,0.2593185404380424  ,    115687833 ,          16 ,          459.0 ,2887729742 ,Benign
2436045 ,172.31.64.69    ,   54137 ,16254.701773240193 ,134.33637829124126  ,        14888 ,           1 ,           44.0 ,2887729221 ,Benign
5258985 ,49.158.31.219   ,   12477 ,672.9028230929624  ,13.280976771571627  ,       677661 ,           5 ,          286.0 , 832446427 ,Benign
 962438 ,172.31.65.126   ,   63001 ,2484.8454486248183 ,40.07815239717449   ,        99805 ,           2 ,           76.0 ,2887729534 ,Benign
6814433 ,172.31.66.99    ,   60212 ,172757.4750830565  ,3322.2591362126245  ,          602 ,           1 ,           38.0 ,2887729763 ,Benign
 682915 ,172.31.64.38    ,   52175 ,10.735404129333647 ,0.260779047676121   ,    115039917 ,          16 ,          447.0 ,2887729190 ,Benign
 704871 ,172.31.64.46    ,   62532 ,8932.131748943297  ,159.50235265970173  ,        12539 ,           1 ,           32.0 ,2887729198 ,Benign
2789885 ,172.31.65.119   ,   55274 ,264550.2645502645  ,5291.005291005291   ,          378 ,           1 ,           42.0 ,2887729527 ,Benign
3467826 ,172.31.66.11    ,   57783 ,86677.36757624398  ,1605.1364365971108  ,         1246 ,           1 ,           46.0 ,2887729675 ,Benign
7432967 ,172.31.65.116   ,   49616 ,54.912280143702766 ,1.3393239059439699  ,      5973163 ,           4 ,           97.0 ,2887729524 ,Benign
2993453 ,172.31.65.41    ,   55704 ,206303.72492836675 ,5730.659025787965   ,          349 ,           1 ,           28.0 ,2887729449 ,Benign
6021708 ,172.31.64.116   ,   61565 ,618750.0           ,6249.999999999999   ,          320 ,           1 ,           51.0 ,2887729268 ,Benign
5632338 ,77.72.83.21     ,   44720 ,852.6321150181664  ,4.99894241124612    ,      3200677 ,           9 ,         1148.0 ,1296585493 ,Benign
7287036 ,172.31.64.78    ,   49747 ,912798.8748241912  ,9845.288326300984   ,          711 ,           3 ,          161.0 ,2887729230 ,Benign
3029513 ,172.31.65.44    ,   59872 ,224999.99999999997 ,3124.9999999999995  ,          640 ,           1 ,           42.0 ,2887729452 ,Benign
7607674 ,5.39.216.195    ,   57595 ,1911.4800822098173 ,10.18337868930332   ,      1669387 ,          10 ,         1460.0 ,  86497475 ,Benign
 183958 ,192.168.10.19   ,     123 ,3517.900985745172  ,73.28960386969108   ,        27289 ,           0 ,            0.0 ,3232238099 ,Benign
6020142 ,207.72.6.146    ,   44519 ,1277.7456467293368 ,8.240197641140423   ,      1941701 ,           9 ,         1052.0 ,3477603986 ,Benign
1476978 ,172.31.66.82    ,   60048 ,292993.6305732484  ,4246.284501061571   ,          471 ,           1 ,           37.0 ,2887729746 ,Benign
7464950 ,172.31.65.17    ,   54431 ,604.2623415374102  ,8.334652986722897   ,       239962 ,           1 ,           41.0 ,2887729425 ,Benign
4171868 ,172.31.66.77    ,   57295 ,295154.1850220265  ,4405.286343612335   ,          454 ,           1 ,           35.0 ,2887729741 ,Benign
 923640 ,172.31.65.123   ,   49888 ,432044.1988950276  ,7734.806629834255   ,          905 ,           3 ,          148.0 ,2887729531 ,Benign
4770615 ,172.31.67.38    ,   54063 ,22.670127663315604 ,0.15486687315980183 ,     83943065 ,           9 ,          896.0 ,2887729958 ,Benign
5099616 ,124.195.8.66    ,   60370 ,556.6820771566242  ,10.987146259670215  ,       819139 ,           5 ,          286.0 ,2093156418 ,Benign
6594781 ,172.31.66.111   ,   57848 ,294811.320754717   ,2358.490566037736   ,          848 ,           1 ,           84.0 ,2887729775 ,Benign
2931479 ,172.31.65.36    ,   52506 ,7.940673242919706  ,0.11839129435663033 ,    118251938 ,           7 ,          613.0 ,2887729444 ,Benign
7454235 ,172.31.65.125   ,   50392 ,1313765.182186235  ,14170.04048582996   ,          494 ,           3 ,          161.0 ,2887729533 ,Benign
7280316 ,172.31.64.74    ,   65339 ,153260.86956521738 ,2173.913043478261   ,          920 ,           1 ,           43.0 ,2887729226 ,Benign
5257241 ,172.31.68.13    ,   54885 ,301204.8192771084  ,6024.096385542169   ,          332 ,           1 ,           42.0 ,2887730189 ,Benign
7315438 ,172.31.64.88    ,   50979 ,108.0559330835302  ,0.37870070005910117 ,     71296409 ,          12 ,          908.0 ,2887729240 ,Benign
5011769 ,5.39.221.40     ,   57860 ,878.8825645180432  ,6.127988523245072   ,      3100528 ,           9 ,         1144.0 ,  86498600 ,Benign
7090451 ,172.31.67.76    ,   49954 ,592307.6923076924  ,7692.307692307693   ,          260 ,           1 ,           45.0 ,2887729996 ,Benign
4194490 ,172.31.66.78    ,   63776 ,268528.46401718585 ,2148.227712137487   ,          931 ,           1 ,           84.0 ,2887729742 ,Benign
2300426 ,172.31.64.49    ,   50429 ,378509.1965150048  ,6776.379477250725   ,         1033 ,           3 ,          148.0 ,2887729201 ,Benign
3708159 ,113.124.10.52   ,   36136 ,662.3286079479433  ,13.072275156867303  ,       688480 ,           5 ,          286.0 ,1903954484 ,Benign
7455258 ,101.96.116.77   ,   56917 ,540.9134241394876  ,3.4008454859861894  ,      5586846 ,          11 ,         1148.0 ,1700820045 ,Benign
4914498 ,172.31.67.57    ,   60425 ,71265.67844925883  ,1140.2508551881415  ,         1754 ,           1 ,           36.0 ,2887729977 ,Benign
4075987 ,172.31.66.68    ,   54613 ,86515.22474625423  ,966.6505558240696   ,         2069 ,           1 ,           40.0 ,2887729732 ,Benign
6530340 ,212.92.116.6    ,   61736 ,1518.728836876206  ,8.442900662817365   ,      2013526 ,           9 ,         1629.0 ,3562828806 ,Benign
7288658 ,172.31.64.78    ,      68 ,769326.6832917706  ,2493.7655860349128  ,          802 ,           1 ,          315.0 ,2887729230 ,Benign
4422593 ,172.31.66.98    ,   54079 ,9.942504460974174  ,0.2595954167356181  ,    115564444 ,          16 ,          443.0 ,2887729762 ,Benign
3420133 ,172.31.66.113   ,   61601 ,58677.274987568366 ,994.5300845350571   ,         2011 ,           1 ,           40.0 ,2887729777 ,Benign
4536507 ,172.31.67.117   ,   63272 ,133580.70500927645 ,1855.287569573284   ,         1078 ,           1 ,           42.0 ,2887730037 ,Benign
1377508 ,172.31.66.54    ,   57432 ,272251.3089005235  ,5235.602094240838   ,          382 ,           1 ,           44.0 ,2887729718 ,Benign
2983907 ,172.31.65.41    ,   51330 ,138.48575347232625 ,0.3500133086157919  ,    117138403 ,          19 ,         1576.0 ,2887729449 ,Benign
5185619 ,185.222.56.84   ,   55528 ,1906.6568809204334 ,8.795444350734956   ,      2046514 ,          10 ,         1148.0 ,3118348372 ,Benign
6654698 ,172.31.66.19    ,   50418 ,56.8565063645445   ,0.33541124613783624 ,    116275171 ,          20 ,         1301.0 ,2887729683 ,Benign
2515335 ,57.100.69.240   ,   63958 ,522.9183480915492  ,3.6406920534039706  ,      5218788 ,          10 ,         1148.0 , 962872816 ,Benign
4567644 ,172.31.67.122   ,   58134 ,146607.23130262506 ,990.5894006934126   ,         2019 ,           1 ,           44.0 ,2887730042 ,Benign
3929699 ,172.31.66.57    ,   51283 ,36.612809455398605 ,0.21168368094009368 ,    118100743 ,          13 ,          597.0 ,2887729721 ,Benign
 779113 ,172.31.64.71    ,   49829 ,194444.44444444447 ,7575.757575757576   ,          396 ,           3 ,           77.0 ,2887729223 ,Benign
5111962 ,50.19.249.203   ,     443 ,704545.4545454546  ,68181.81818181818   ,           44 ,           2 ,           31.0 , 840169931 ,Benign
4814200 ,172.31.67.45    ,   64701 ,14097.81838229503  ,157.51752382452548  ,        12697 ,           1 ,           40.0 ,2887729965 ,Benign
4556610 ,172.31.67.122   ,   49893 ,1124.8768330433513 ,3.1804257516687793  ,      5030773 ,           9 ,          392.0 ,2887730042 ,Benign
7832518 ,152.101.118.11  ,   61714 ,267.46531869634515 ,1.5681367164314854  ,     10203192 ,           8 ,         1148.0 ,2556786187 ,Benign
3310288 ,172.31.65.96    ,   56000 ,2892.1282798833818 ,23.323615160349853  ,       171500 ,           2 ,           78.0 ,2887729504 ,Benign
5303031 ,93.183.216.136  ,   56096 ,1006.8311088599327 ,4.907591346418349   ,      3871553 ,          11 ,         1144.0 ,1572329608 ,Benign
5107566 ,172.31.67.77    ,   59779 ,313253.0120481928  ,6024.096385542169   ,          332 ,           1 ,           44.0 ,2887729997 ,Benign
6748348 ,172.31.66.83    ,   57816 ,59006.21118012423  ,1035.1966873706006  ,         1932 ,           1 ,           43.0 ,2887729747 ,Benign
3785786 ,172.31.66.40    ,   51115 ,2853.7750480799054 ,186.11576400521122  ,        16119 ,           3 ,           46.0 ,2887729704 ,Benign
3142006 ,172.31.65.71    ,   56844 ,5650.40650406504   ,81.30081300813008   ,        24600 ,           1 ,           41.0 ,2887729479 ,Benign
3196022 ,172.31.65.82    ,   51858 ,69686.41114982577  ,1161.4401858304298  ,         1722 ,           1 ,           31.0 ,2887729490 ,Benign
2961135 ,172.31.65.37    ,   56070 ,909090.9090909092  ,8264.462809917355   ,          242 ,           1 ,           46.0 ,2887729445 ,Benign
7113374 ,212.92.114.68   ,   61877 ,1540.2367160134554 ,7.267171923523513   ,      2476892 ,           9 ,         1237.0 ,3562828356 ,Benign
5431347 ,172.31.68.26    ,   54749 ,625352.1126760563  ,5633.802816901409   ,          355 ,           1 ,           47.0 ,2887730202 ,Benign
6142061 ,66.150.118.16   ,     443 ,3.1E7              ,2000000.0           ,            1 ,           2 ,           31.0 ,1117156880 ,Benign
 303073 ,192.168.10.3    ,   60912 ,7.101686052400725  ,0.07868904213186399 ,     50832999 ,           1 ,           53.0 ,3232238083 ,Benign
1383327 ,152.101.118.11  ,   61513 ,1231.9006751303225 ,6.771165308521376   ,      2215276 ,           8 ,         1148.0 ,2556786187 ,Benign
7867868 ,172.31.67.8     ,   49341 ,66.59645613455895  ,1.6243038081599743  ,      4925187 ,           4 ,           97.0 ,2887729928 ,Benign
1688609 ,172.31.67.41    ,   50565 ,158375.6345177665  ,2030.4568527918782  ,          985 ,           1 ,           45.0 ,2887729961 ,Benign
5033258 ,172.31.67.67    ,   59803 ,13238.714294233407 ,119.26769634444511  ,        16769 ,           1 ,           47.0 ,2887729987 ,Benign
3632415 ,172.31.66.25    ,   52150 ,112213.00887536981 ,375.0156256510688   ,        23999 ,           4 ,          427.0 ,2887729689 ,Benign
4776851 ,152.101.118.11  ,   49310 ,1247.3033748948774 ,6.855826538447475   ,      2187920 ,           8 ,         1148.0 ,2556786187 ,Benign
2279956 ,172.31.64.45    ,   54905 ,166511.62790697673 ,1860.4651162790697  ,         1075 ,           1 ,           40.0 ,2887729197 ,Benign
 474906 ,192.168.10.16   ,   16321 ,1650485.436893204  ,19417.47572815534   ,          206 ,           1 ,           46.0 ,3232238096 ,Benign
4217486 ,172.31.66.7     ,   49823 ,4016.064257028113  ,81.96049504139005   ,        24402 ,           1 ,           35.0 ,2887729671 ,Benign
6272666 ,89.248.173.166  ,   62132 ,1095.8112713530818 ,7.5085818673931435  ,      2264076 ,          10 ,         1052.0 ,1509469606 ,Benign
2437211 ,172.31.64.69    ,   49990 ,144690.78179696616 ,2333.7222870478413  ,          857 ,           1 ,           34.0 ,2887729221 ,Benign
5684719 ,172.31.69.17    ,   63863 ,97560.97560975609  ,1951.2195121951218  ,         1025 ,           1 ,           36.0 ,2887730449 ,Benign
6078466 ,172.31.64.21    ,   56185 ,2406.18628657495   ,36.73566849732748   ,       108886 ,           2 ,           64.0 ,2887729173 ,Benign
   6794 ,192.168.10.12   ,   43876 ,3.4427421303358443 ,0.12810203275668258 ,     62450219 ,           6 ,          123.0 ,3232238092 ,Benign
1054534 ,172.31.65.50    ,   51615 ,355.29767585446865 ,2.512986825956525   ,      5173127 ,           6 ,         1030.0 ,2887729458 ,Benign
1324276 ,172.31.66.42    ,   49955 ,6631.06830000349   ,69.80071894740516   ,        28653 ,           1 ,           40.0 ,2887729706 ,Benign
4652943 ,172.31.67.18    ,   58056 ,166666.66666666666 ,1949.317738791423   ,         1026 ,           1 ,           37.0 ,2887729938 ,Benign
3342570 ,172.31.66.105   ,   59144 ,184754.52196382429 ,2583.9793281653747  ,          774 ,           1 ,           31.0 ,2887729769 ,Benign
 669878 ,172.31.64.35    ,   61343 ,1912.614207622026  ,25.84613794083819   ,       154762 ,           2 ,           84.0 ,2887729187 ,Benign
2426605 ,172.31.64.69    ,   52754 ,114.06408072485861 ,0.423162126265946   ,     68531653 ,          13 ,          810.0 ,2887729221 ,Benign
7317913 ,213.230.16.197  ,   65391 ,207.20688522525558 ,1.3473411428062478  ,     14101848 ,           9 ,         1282.0 ,3588624581 ,Benign
4072187 ,172.31.66.68    ,   60428 ,296296.2962962963  ,6734.0067340067335  ,          297 ,           1 ,           36.0 ,2887729732 ,Benign
 204955 ,192.168.10.3    ,   61581 ,5682.751371415432  ,65.69654764642118   ,        30443 ,           0 ,            0.0 ,3232238083 ,Benign
4714936 ,172.31.67.29    ,   54060 ,182910.5473965287  ,2670.22696929239    ,          749 ,           1 ,           31.0 ,2887729949 ,Benign
5227043 ,211.157.158.66  ,   50805 ,1234.1899096721324 ,6.783748129381453   ,      2211167 ,           8 ,         1148.0 ,3550322242 ,Benign
 556560 ,172.31.64.115   ,   61728 ,111932.4181626188  ,2111.932418162619   ,          947 ,           1 ,           45.0 ,2887729267 ,Benign
1846795 ,172.31.64.100   ,   49754 ,385000.0           ,15000.0             ,          200 ,           3 ,           77.0 ,2887729252 ,Benign
6531794 ,193.19.118.97   ,   51961 ,839.9804766829475  ,6.143701170375073   ,      2929830 ,          11 ,         1032.0 ,3239278177 ,Benign
 395500 ,192.168.10.50   ,   45379 ,1254237.288135593  ,22598.870056497177  ,          177 ,           1 ,           32.0 ,3232238130 ,Benign
6405619 ,172.31.65.61    ,   50918 ,61.630293900322876 ,0.33494724945827653 ,    116436245 ,          18 ,         2192.0 ,2887729469 ,Benign
2946956 ,52.209.205.49   ,     443 ,996.0681520314547  ,78.63695937090432   ,        38150 ,           2 ,           38.0 , 886164785 ,Benign
 360952 ,192.168.10.16   ,    5531 ,11264.846332802743 ,163.25864250438758  ,        24501 ,           1 ,           30.0 ,3232238096 ,Benign
3788076 ,172.31.66.40    ,   52679 ,17.763065485760162 ,0.29045380457042674 ,    110172425 ,          16 ,          950.0 ,2887729704 ,Benign
6363542 ,212.92.116.6    ,   60213 ,1240.5394468506227 ,7.512350303899611   ,      1996712 ,           8 ,         1048.0 ,3562828806 ,Benign
5321577 ,204.62.193.124  ,   51044 ,2001.019207291365  ,10.998639834873755  ,      1363805 ,           8 ,         1148.0 ,3426664828 ,Benign
2727552 ,185.222.56.84   ,   18563 ,1680.153932569657  ,9.2894614775322     ,      1614733 ,           8 ,         1132.0 ,3118348372 ,Benign
3216876 ,151.101.192.217 ,     443 ,1033333.3333333333 ,100000.0            ,           30 ,           3 ,           31.0 ,2540028121 ,Benign
5243821 ,96.231.60.219   ,   63118 ,903.5729705532555  ,5.297606276603917   ,      3020232 ,           8 ,         1148.0 ,1625767131 ,Benign
3185398 ,172.31.65.82    ,   54555 ,60.45187111029036  ,0.3737889725762754  ,    117713478 ,          23 ,         1804.0 ,2887729490 ,Benign
3189245 ,172.31.65.82    ,   54442 ,2268.17813922155   ,19.38613794206453   ,       206333 ,           2 ,          152.0 ,2887729490 ,Benign
7833540 ,172.31.67.83    ,    3389 ,876.8335655166762  ,32.77882487912808   ,       122030 ,           3 ,          107.0 ,2887730003 ,Benign
2971778 ,172.31.65.39    ,   51428 ,271604.93827160494 ,6172.839506172839   ,          324 ,           1 ,           36.0 ,2887729447 ,Benign
2874254 ,123.223.160.41  ,   60828 ,1216.8618074834546 ,6.688503888696161   ,      2242654 ,           8 ,         1148.0 ,2078253097 ,Benign
7125357 ,172.31.67.97    ,   52250 ,4861.914999173144  ,66.14850339011079   ,        60470 ,           2 ,           60.0 ,2887730017 ,Benign
1814721 ,172.31.67.86    ,   50322 ,68.99660118611024  ,0.4462055645568806  ,     60510227 ,          14 ,          869.0 ,2887730006 ,Benign
