        ,Src IP        ,Src Port ,Flow Byts/s            ,Flow Pkts/s            ,Flow Duration ,Tot Fwd Pkts ,TotLen Fwd Pkts ,Num Src IP ,Label
1329678 ,172.31.66.43  ,   51020 ,    27.121553940019474 ,   0.2856669250187925  ,    119019729 ,          18 ,         1914.0 ,2887729707 ,Benign
6370665 ,172.31.65.25  ,   49438 ,   615.0205528374241   ,   0.9150036295863316  ,    115846535 ,          40 ,          357.0 ,2887729433 ,Benign
4977097 ,172.31.67.64  ,   50461 ,    80.73370178874656  ,   0.27926752191075854 ,    118166265 ,          19 ,         1383.0 ,2887729984 ,Benign
3395902 ,172.31.66.109 ,   50498 ,   895.6348951686255   ,   4.594519568132945   ,      6747169 ,          15 ,         1101.0 ,2887729773 ,Benign
3725993 ,172.31.66.34  ,   54071 ,109670.98703888335     ,1994.0179461615155     ,         1003 ,           1 ,           41.0 ,2887729698 ,Benign
   2201 ,18.219.9.1    ,   55079 , 96493.99873657613     , 552.7479469361971     ,        12664 ,           2 ,          287.0 , 316344577 ,ddos
3278589 ,172.31.69.25  ,      80 ,   308.7290440119076   ,   1.8363065814834647  ,      4356571 ,           4 ,          935.0 ,2887730457 ,ddos
2647808 ,172.31.69.25  ,      80 ,   268.89303010135245  ,   1.7005092812733753  ,      4704473 ,           4 ,          935.0 ,2887730457 ,ddos
3073929 ,172.31.69.25  ,      80 ,   282.2037802088572   ,   2.202995942301774   ,      4539273 ,           5 ,          935.0 ,2887730457 ,ddos
2063930 ,172.31.69.28  ,      80 , 16407.776977677193    ,  90.01131570826045    ,        77768 ,           4 ,          935.0 ,2887730460 ,ddos
