,Src IP,Src Port,Flow Byts/s,Flow Pkts/s,Flow Duration,Active Mean,Fwd IAT Mean,Tot Fwd Pkts,TotLen Fwd Pkts,Label
4085377,2887729734,63831,220.96480030731104,3.3994584662663234,1764987,0.0,882324.0,3,123.0,Benign
6718884,2540030466,443,430555.55555555556,55555.555555555555,72,0.0,36.0,3,31.0,Benign
6876668,1746157500,443,0.0,68965.5172413793,29,0.0,29.0,2,0.0,Benign
2924944,2887729441,50265,0.0,5.5055518902853615,1089809,0.0,532394.0,3,0.0,Benign
3971871,2887729724,60173,594405.5944055944,4662.004662004661,429,0.0,0.0,1,34.0,Benign
1338446,2887729707,54134,377850.1628664495,6514.657980456026,307,0.0,0.0,1,42.0,Benign
7810516,2887729992,49958,0.0,0.03691212027002323,54182745,0.0,54182745.0,2,0.0,Benign
6139219,3507120781,52644,2121.0373254500446,12.87558068868906,1164996,0.0,166428.0,8,1042.0,Benign
1663996,2887729952,50813,0.0,0.7617904207901748,5250788,0.0,2625394.0,3,0.0,Benign
2718496,2887729515,64343,125440.14084507042,880.2816901408451,2272,0.0,0.0,1,33.0,Benign
1568955,2887730039,51847,867647.0588235294,9358.288770053476,748,0.0,204.5,3,161.0,Benign
6010189,921052227,443,2521.90071675073,199.09742500663657,15068,0.0,15068.0,2,38.0,Benign
7411292,2887729516,62427,1100.5115443107975,11.060417530761786,180825,0.0,0.0,1,45.0,Benign
6537357,2887729767,49976,649546.9604250842,741.6083022500678,637803,0.0,3708.156976744187,173,1049.0,Benign
3007084,398747662,443,3.1E7,2000000.0,1,0.0,1.0,2,31.0,Benign
6572789,2887729774,50967,438340.8071748879,7847.533632286995,892,0.0,222.0,3,148.0,Benign
7386222,3286125313,59818,1408.9975516795932,7.744581632537155,1936838,0.0,276691.14285714284,8,1148.0,Benign
528178,3232238130,15749,738095.2380952381,23809.52380952381,168,0.0,0.0,1,31.0,Benign
4587847,2887730046,50995,1660.4086869563578,37.736561067189946,52999,0.0,0.0,1,36.0,Benign
242140,3232238094,57087,23598.306033435776,89.76755483741512,189378,0.0,21717.428571428565,8,505.0,Benign
5946609,2887730441,50966,322580.6451612903,6451.612903225807,310,0.0,0.0,1,42.0,Benign
6530263,2887729766,57165,978723.4042553193,6079.0273556231,329,0.0,0.0,1,33.0,Benign
1745395,2887729974,58456,3348.214285714286,50.73051948051948,78848,0.0,78318.0,2,68.0,Benign
2571123,2887729233,50024,37.770429538317536,0.3210190835285319,118373025,172804.8333333333,6229563.47368421,20,1319.0,Benign
4057692,2887729730,61497,213991.76954732512,4115.22633744856,486,0.0,0.0,1,36.0,Benign
